team,player,source_player_id,season,position,games,half_innings,bip_opportunities,range_runs,range_gb,range_ld,range_fb,error_runs,dp_runs,arm_runs,framing_runs,blocking_runs,throwing_runs,bunt_runs,drs_total,drs_floor,drs_ceiling,pitcher_fielding,pitcher_fielding_n,bip_faced,bip_tracked,range_runs_tracked,tracking_coverage,range_flag,plays_made,errors,assists,putouts,pop_time_avg,constants_version,engine_version,grounder_cal_version
OKLA,B. Brock,1596263916,2026,LF,2,8,7.0,1.119,0.0,1.055,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.119,0.022,1.119,0.0,0,7.0,7.0,1.119,1.0,ok,5,0,0,5,,D1_2026_v1,drs-engine-0.8.0,gcal_2026_v1
OKLA,C. Johnson,1100524800,2026,3B,2,8,4.88,0.218,0.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.218,0.003,0.218,0.0,0,7.9,4.9,0.218,0.619,ok,3,0,2,4,,D1_2026_v1,drs-engine-0.8.0,gcal_2026_v1
OKLA,C. Rager,1702846526,2026,P,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,1,0.0,0.0,0.0,,,0,0,1,0,,D1_2026_v1,drs-engine-0.8.0,gcal_2026_v1
OKLA,D. Harris,1330459904,2026,RF,2,6,5.0,0.872,0.0,0.775,0.097,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.913,0.014,0.913,0.0,0,5.0,5.0,0.872,1.0,ok,5,0,0,5,,D1_2026_v1,drs-engine-0.8.0,gcal_2026_v1
OKLA,D. Lachance,1541932900,2026,C,2,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.834,0.413,0.0,0.0,1.247,0.063,1.247,0.0,0,0.0,0.0,0.0,,,0,0,0,0,,D1_2026_v1,drs-engine-0.8.0,gcal_2026_v1
OKLA,D. Tockey,1824116315,2026,1B,2,10,3.04,-0.159,0.245,-0.403,0.0,-0.964,0.0,0.0,0.0,0.0,0.0,0.0,-1.123,-0.01,-1.123,0.0,0,2.0,2.0,-0.159,1.49,ok,1,1,1,8,,D1_2026_v1,drs-engine-0.8.0,gcal_2026_v1
OKLA,J. Walk,1100630272,2026,CF,2,11,13.0,0.052,0.0,-0.637,0.69,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.088,0.006,0.088,0.0,0,13.0,13.0,0.052,1.0,ok,10,0,0,10,,D1_2026_v1,drs-engine-0.8.0,gcal_2026_v1
OKLA,J. Willits,1152940544,2026,SS,2,5,3.54,0.534,0.433,0.0,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.534,0.005,0.534,0.0,0,4.5,3.5,0.534,0.78,ok,3,0,2,2,,D1_2026_v1,drs-engine-0.8.0,gcal_2026_v1
OKLA,K. Branch,1806377050,2026,2B,2,8,8.54,0.61,0.814,-0.305,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.015,0.61,0.0,0,8.5,8.5,0.61,1.0,ok,5,0,3,2,,D1_2026_v1,drs-engine-0.8.0,gcal_2026_v1
OKLA,N. Wesloski,1947901017,2026,P,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,0,0,0,1,,D1_2026_v1,drs-engine-0.8.0,gcal_2026_v1
UGA,B. Hudson,1330788096,2026,1B,1,8,2.49,-0.495,-0.078,-0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.495,-0.003,-0.495,0.0,0,2.5,2.5,-0.495,1.0,ok,0,0,0,7,,D1_2026_v1,drs-engine-0.8.0,gcal_2026_v1
UGA,D. Jackson,1493011308,2026,C,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.452,-0.11,-0.35,0.0,-0.911,-0.03,-0.911,0.0,0,0.0,0.0,0.0,,,0,0,2,0,1.95,D1_2026_v1,drs-engine-0.8.0,gcal_2026_v1
UGA,K. Branch,1093147904,2026,SS,1,6,3.44,-0.449,-0.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.449,-0.004,-0.449,0.0,0,3.4,3.4,-0.449,1.0,ok,2,0,2,0,,D1_2026_v1,drs-engine-0.8.0,gcal_2026_v1
UGA,K. Ishikawa,1018912519,2026,LF,1,6,7.0,1.311,0.0,0.763,0.435,0.0,0.0,0.069,0.0,0.0,0.0,0.0,1.38,0.031,1.38,0.0,0,7.0,7.0,1.311,1.0,ok,6,0,0,6,,D1_2026_v1,drs-engine-0.8.0,gcal_2026_v1
UGA,M. O'Shaughnessy,,2026,3B,1,1,0.06,-0.033,-0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033,-0.0,-0.033,0.0,0,0.1,0.1,-0.033,1.0,ok,0,0,0,0,,D1_2026_v1,drs-engine-0.8.0,gcal_2026_v1
